21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
21,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21,20,-1,7,-1,22,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,20,-1,-1,-1,22,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,20,-1,-1,-1,22,20,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,20,-1,-1,-1,22,40,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,20,-1,-1,-1,5,1,4,-1,-1,-1,-1,-1,25,41,41,41,41,41,41
21,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,1,2,21
21,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,22,21
21,20,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,22,21
21,20,-1,-1,-1,-1,25,41,41,41,24,-1,-1,-1,-1,-1,-1,10,22,21
21,20,-1,-1,-1,-1,22,21,21,21,20,-1,-1,-1,-1,-1,-1,10,22,21
21,20,-1,-1,-1,-1,5,1,1,1,4,-1,-1,-1,-1,-1,-1,10,22,21
21,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,22,21
21,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,41,41,42,21
21,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,21,21,21
21,40,41,41,41,41,41,41,41,41,41,41,41,41,41,42,21,21,21,21
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
