21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,22
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
41,41,41,41,24,11,-1,-1,-1,-1,-1,-1,10,25,24,-1,-1,-1,-1,22
21,21,21,21,20,11,-1,-1,-1,-1,-1,-1,10,22,20,-1,-1,-1,-1,22
1,1,1,2,40,41,41,41,41,41,41,41,41,42,20,-1,-1,-1,-1,22
-1,-1,-1,5,1,1,1,1,1,1,1,1,1,1,4,-1,-1,-1,-1,22
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
-1,-1,-1,-1,-1,-1,25,41,41,41,24,-1,-1,-1,-1,-1,-1,-1,-1,22
41,24,-1,-1,-1,-1,5,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,22
21,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,41,41,41,42
21,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,41,42,21,21,21,21
21,40,41,41,41,41,41,41,41,41,41,41,41,42,21,21,21,21,21,21
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
